Designator,LibRef,Footprint,Comment,Description,Quantity

"C1, C3, C5, C7, C9, C11, C12, C13, C14, C15, C16","Cap Semi","1608[0603]","Cap Semi","Capacitor (Semiconductor SIM Model)","11"
"C2, C6","Cap Pol3","Panasonic_HA_B","Cap Pol3","Polarized Capacitor (Surface Mount)","2"
"LED1, LED2","LED3","CD2012-0805","LED3","Typical BLUE SiC LED","2"
"P1, P2, P3, P4","Header 6","OSTVN06A150","Header 6","Header, 6-Pin","4"
"P5","Header 3","OSTVN03A150","Header 3","Header, 3-Pin","1"
"P6","Header 2","OSTVN02A150","Header 2","Header, 2-Pin","1"
"P7","Header 20X2","IDC2.54-V40D","Header 20X2","Header, 20-Pin, Dual row","1"
"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16","Res3","J1-0603","Res3","Resistor","16"
"U1, U4","74ACT14SC","M14A_N","74ACT14SC","Hex Inverter with Schmitt Trigger Input","2"
"U2, U3, U5","MC3487D","D016_N","MC3487D","Quadruple Differential Line Driver with 3-State Output","3"
"U6","MC3486D","D016_N","MC3486D","Quadruple Line Receiver with 3-State Output","1"
